index,mobius_value,capacity_value,label
0,0.0,0.0,[]
1,0.15920235256500836,0.030178159613071447,[0]
2,0.25396705772987727,0.0481416152534854,[1]
3,0.4054944627244648,0.07686492329514218,[2]
4,0.7324621076014715,0.1388444205602921,[3]
5,0.621917186479656,0.1962094656739308,"[0, 1]"
6,0.4274631362434165,0.1880723550666784,"[0, 2]"
7,0.2658648650773723,0.2194195259756338,"[0, 3]"
8,1.0,0.3145650414655274,"[1, 2]"
9,0.7260889062792906,0.324622361872649,"[1, 3]"
10,0.6829561404105531,0.3451694873895627,"[2, 3]"
11,0.0,0.5436621640444376,"[0, 1, 2]"
12,0.0,0.5230871580953647,"[0, 1, 3]"
13,0.0,0.5067738649633692,"[0, 2, 3]"
14,0.0,0.7205059316188195,"[1, 2, 3]"
15,0.0,1.0,"[0, 1, 2, 3]"
